track_id,genre
82464,Rock
142096,Instrumental
149102,Pop
109449,Folk
130372,Pop
100480,Hip-Hop
73519,Rock
14344,Electronic
97590,Folk
147309,Instrumental
52447,Instrumental
138019,Instrumental
111389,Pop
83440,Folk
138016,Folk
119134,Experimental
45508,Electronic
39484,Experimental
12048,Folk
116528,Instrumental
108505,Rock
139954,Electronic
148131,Instrumental
676,Hip-Hop
57371,Instrumental
19759,Pop
142572,International
90582,Pop
26298,Pop
73100,Experimental
147413,Rock
26465,Folk
110764,Hip-Hop
71249,Hip-Hop
52860,Experimental
69761,Folk
125722,Pop
117628,Folk
97988,Hip-Hop
92955,Instrumental
124470,Rock
32439,Electronic
82628,International
35734,Folk
99371,International
123764,Instrumental
122579,Pop
38830,International
108342,Electronic
16879,Hip-Hop
96696,Folk
67011,Folk
120307,Instrumental
66757,Instrumental
92282,Electronic
44806,Pop
36388,Pop
108302,Folk
59876,Rock
148510,Pop
146689,Hip-Hop
136091,Rock
88876,Folk
74421,Folk
108304,Folk
17588,Electronic
134801,Electronic
64896,Experimental
110267,Hip-Hop
36618,Pop
70657,Hip-Hop
108022,Instrumental
127280,Pop
110983,Rock
125816,Instrumental
144487,Experimental
1687,International
115262,International
36567,Experimental
42146,Experimental
41825,Pop
40654,Instrumental
145754,Electronic
197,Folk
26007,Hip-Hop
110651,Instrumental
115775,Instrumental
16162,Hip-Hop
127062,Folk
37131,Electronic
92874,Experimental
55288,Pop
71371,Rock
40986,Rock
126522,Experimental
149417,Rock
142519,Folk
41191,Folk
25609,International
10374,Experimental
73367,Electronic
42844,Rock
5936,Folk
120318,Instrumental
31041,Electronic
52127,International
98238,Instrumental
133445,Instrumental
128828,Experimental
126189,Instrumental
126216,Instrumental
63472,Rock
62007,Instrumental
133580,Instrumental
24975,Experimental
80005,Folk
105914,Folk
123099,Folk
142092,Hip-Hop
41381,Pop
141569,Hip-Hop
120308,Instrumental
119715,Rock
7378,Experimental
139777,Instrumental
57417,Electronic
73520,Rock
98349,International
129188,Instrumental
148302,Experimental
133024,Electronic
56033,Experimental
106339,Folk
129185,Instrumental
148078,International
145724,Hip-Hop
52451,Instrumental
85426,Pop
33486,Experimental
59687,International
1735,Experimental
87361,Rock
113564,Experimental
99370,International
122620,Rock
139520,Folk
81436,Instrumental
56030,International
36992,Hip-Hop
86487,Instrumental
115852,Experimental
9846,Experimental
19685,Rock
51273,Pop
115288,Instrumental
23505,Electronic
24430,Hip-Hop
38906,Experimental
28482,Pop
81945,Folk
46854,Pop
113698,International
114296,Electronic
113336,Electronic
706,International
7391,Experimental
87069,Electronic
118921,Electronic
60736,Rock
124875,Instrumental
139110,Folk
149124,Hip-Hop
98554,Hip-Hop
133837,International
82250,Experimental
87154,Rock
110108,Electronic
55828,International
27547,Pop
124461,Rock
32340,Pop
81802,Instrumental
111793,Instrumental
126294,Rock
24912,Experimental
127660,Instrumental
122533,Pop
119026,Experimental
56804,Electronic
75785,Rock
125315,Electronic
105119,Rock
3904,Folk
64519,Hip-Hop
75377,Hip-Hop
95915,Hip-Hop
35527,Rock
111149,Instrumental
87965,Folk
4511,International
43023,International
122626,Instrumental
90074,Electronic
114939,International
126224,Experimental
21232,Pop
